time,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-09-28 00:00:00-07:00,15.85,0.03,10.41,0.7,clear-night,272.89,0,0,1010.75,Clear,15.85,14.92,232,1.0,America/Los_Angeles
2016-09-28 01:00:00-07:00,15.53,0.03,11.1,0.75,clear-night,273.08,0,0,1010.8,Clear,15.53,14.39,248,2.16,America/Los_Angeles
2016-09-28 02:00:00-07:00,15.02,0.04,11.1,0.77,clear-night,273.28,0,0,1010.85,Clear,15.02,14.31,245,2.45,America/Los_Angeles
2016-09-28 03:00:00-07:00,14.8,0.14,11.08,0.78,clear-night,273.44,0,0,1010.91,Clear,14.8,14.58,242,2.46,America/Los_Angeles
2016-09-28 04:00:00-07:00,14.41,0.46,10.91,0.8,partly-cloudy-night,273.57,0,0,1010.99,Partly Cloudy,14.41,14.73,237,2.38,America/Los_Angeles
2016-09-28 05:00:00-07:00,14.11,0.59,10.75,0.8,partly-cloudy-night,273.64,0,0,1011.13,Partly Cloudy,14.11,14.85,232,2.25,America/Los_Angeles
2016-09-28 06:00:00-07:00,13.75,0.65,10.72,0.82,partly-cloudy-night,273.61,0,0,1011.39,Mostly Cloudy,13.75,14.89,232,2.38,America/Los_Angeles
2016-09-28 07:00:00-07:00,13.6,0.66,10.71,0.83,partly-cloudy-night,273.5,0,0,1011.72,Mostly Cloudy,13.6,14.6,231,2.22,America/Los_Angeles
2016-09-28 08:00:00-07:00,14.85,0.66,11.63,0.81,partly-cloudy-day,273.33,0,0,1012.01,Mostly Cloudy,14.85,14.71,234,2.12,America/Los_Angeles
2016-09-28 09:00:00-07:00,17.3,0.62,12.65,0.74,partly-cloudy-day,273.05,0,0,1012.26,Mostly Cloudy,17.3,15.98,236,2.24,America/Los_Angeles
2016-09-28 10:00:00-07:00,19.23,0.5,12.89,0.67,partly-cloudy-day,272.69,0,0,1012.46,Partly Cloudy,19.23,16.09,236,2.13,America/Los_Angeles
2016-09-28 11:00:00-07:00,21.13,0.35,13.19,0.61,partly-cloudy-day,272.45,0,0,1012.55,Partly Cloudy,21.13,16.09,239,2.2,America/Los_Angeles
2016-09-28 12:00:00-07:00,23.15,0.23,13.67,0.55,clear-day,272.36,0,0,1012.46,Clear,23.15,16.09,243,2.56,America/Los_Angeles
2016-09-28 13:00:00-07:00,25.18,0.12,14.31,0.51,clear-day,272.38,0,0,1012.26,Clear,25.18,16.09,248,3.1,America/Los_Angeles
2016-09-28 14:00:00-07:00,26.42,0.11,14.81,0.49,clear-day,272.5,0,0,1012.07,Clear,26.42,16.09,251,3.67,America/Los_Angeles
2016-09-28 15:00:00-07:00,26.22,0.17,14.64,0.49,clear-day,272.71,0,0,1011.91,Clear,26.22,16.09,253,4.12,America/Los_Angeles
2016-09-28 16:00:00-07:00,25.37,0.22,14.46,0.51,clear-day,273.01,0,0,1011.78,Clear,25.37,16.09,254,4.42,America/Los_Angeles
2016-09-28 17:00:00-07:00,24.03,0.29,14.27,0.54,partly-cloudy-day,273.41,0,0,1011.82,Partly Cloudy,24.03,16.09,254,4.45,America/Los_Angeles
2016-09-28 18:00:00-07:00,22.14,0.31,14.1,0.6,partly-cloudy-day,273.92,0,0,1012.09,Partly Cloudy,22.14,16.09,251,4.35,America/Los_Angeles
